2021/10/05  14:42:26,1
2021/10/05  14:43:32,2,0:01:06.371408
2021/10/05  14:45:40,1
2021/10/05  14:46:50,2,0:01:09.157941
2021/10/05  14:47:21,1
2021/10/05  14:47:42,2,0:00:21.018454
2021/10/05  14:48:01,1
2021/10/05  14:48:16,2,0:00:14.898853
2021/10/05  14:48:18,3
2021/10/05  14:48:19,2,0:00:18.425934
2021/10/05  14:48:20,3
2021/10/05  14:48:28,2,0:00:26.961997
2021/10/05  14:48:49,1
2021/10/05  14:49:05,2,0:00:16.093700
2021/10/05  14:49:13,1
2021/10/05  14:49:35,2,0:00:22.331040
2021/10/05  14:49:57,2,0:00:44.576910
2021/10/05  14:50:05,1
2021/10/05  14:50:05,2,0:00:00.156295
2021/10/05  14:50:10,3
2021/10/05  14:50:10,2,0:00:05.078167
2021/10/05  14:50:12,3
2021/10/05  14:50:13,2,0:00:07.808103
2021/10/05  14:50:13,3
2021/10/05  14:50:13,2,0:00:08.215805
2021/10/05  14:50:13,3
2021/10/05  14:50:13,2,0:00:08.526511
2021/10/05  14:50:14,3
2021/10/05  14:50:14,2,0:00:08.941861
2021/10/05  14:50:14,3
2021/10/05  14:50:14,2,0:00:09.353512
2021/10/05  14:50:55,1
2021/10/05  14:50:55,2,0:00:00.467026
2021/10/05  14:51:42,1
2021/10/05  14:52:12,1
2021/10/05  14:52:13,1
2021/10/05  14:52:14,1
2021/10/05  14:52:14,2,0:00:00.153926
2021/10/05  14:52:14,2,0:00:00.457255
2021/10/05  14:52:15,2,0:00:00.760720
2021/10/05  14:52:15,2,0:00:01.363879
2021/10/05  14:52:15,3
2021/10/05  14:52:16,2,0:00:02.677887
2021/10/05  14:52:17,2,0:00:03.483078
2021/10/05  14:52:18,2,0:00:03.785841
2021/10/05  14:52:18,3
2021/10/05  14:52:18,2,0:00:04.301300
2021/10/05  14:52:18,2,0:00:04.604382
2021/10/05  14:52:19,3
2021/10/05  14:52:19,2,0:00:05.416806
2021/10/05  14:52:19,2,0:00:05.721675
2021/10/05  14:52:20,2,0:00:06.025104
2021/10/05  14:52:20,3
2021/10/05  14:52:20,2,0:00:06.534644
2021/10/05  14:52:21,2,0:00:07.039004
2021/10/05  14:52:21,3
2021/10/05  14:52:21,2,0:00:07.548987
2021/10/05  14:52:22,2,0:00:08.357413
2021/10/05  14:52:23,3
2021/10/05  14:52:23,2,0:00:09.374971
2021/10/05  14:52:56,1
2021/10/05  14:54:32,2,0:01:36.152242
2021/10/05  14:55:11,1
2021/10/05  14:55:12,2,0:00:00.758971
2021/10/05  14:55:12,3
2021/10/05  14:55:12,2,0:00:01.167394
2021/10/05  14:55:12,3
2021/10/05  14:55:13,2,0:00:01.588203
2021/10/05  14:55:13,3
2021/10/05  14:55:13,2,0:00:02.298687
2021/10/05  14:55:13,3
2021/10/05  14:55:14,2,0:00:02.911472
2021/10/05  14:55:14,3
2021/10/05  14:55:14,2,0:00:03.219853
2021/10/05  14:55:15,3
2021/10/05  14:55:15,2,0:00:03.829748
2021/10/05  14:55:47,1
2021/10/05  14:55:50,2,0:00:03.563993
2021/10/05  14:55:56,1
2021/10/05  14:55:57,2,0:00:00.461928
2021/10/05  14:56:33,1
2021/10/05  14:56:36,2,0:00:02.864262
2021/10/05  14:56:39,3
2021/10/05  14:56:39,2,0:00:05.384916
2021/10/05  14:56:39,3
2021/10/05  14:56:39,2,0:00:05.795244
2021/10/05  14:56:39,3
2021/10/05  14:56:40,3
2021/10/05  14:56:42,3
2021/10/05  14:56:43,2,0:00:09.051923
2021/10/05  14:56:45,2,0:00:11.158014
2021/10/05  14:56:47,3
2021/10/05  14:56:47,2,0:00:13.492104
2021/10/05  14:56:48,3
2021/10/05  14:56:48,2,0:00:14.407424
2021/10/05  14:56:49,3
2021/10/05  14:56:49,3
2021/10/05  14:56:49,2,0:00:15.630047
2021/10/05  14:58:04,1
2021/10/05  15:01:46,2,0:03:42.760470
2021/10/05  15:02:01,1
2021/10/05  15:02:48,2,0:00:46.890962
2021/10/05  15:02:52,3
2021/10/05  15:02:53,2,0:00:51.108991
2021/10/05  15:02:53,3
2021/10/05  15:02:58,2,0:00:56.131591
2021/10/05  15:02:59,3
2021/10/05  15:03:02,2,0:01:00.661036
2021/10/05  15:03:04,3
2021/10/05  15:03:07,2,0:01:05.588000
2021/10/05  15:03:15,1
2021/10/05  15:03:57,2,0:00:41.978587
